qnm,output_norm
0.01189,5167.351822
0.0119,5057.862551
0.01191,5076.747166
0.01192,5116.83502
0.01193,4713.431984
0.01194,4797.960121
0.01195,5129.585425
0.01196,4611.140283
0.01197,4995.025101
0.01198,4768.191903
0.01199,4597.006073
0.012,4904.279757
0.01201,4595.985223
0.01202,5123.113765
0.01203,4768.678543
0.01204,4360.67085
0.01205,5082.489879
0.01206,4903.412551
0.01207,4914.979757
0.01208,4514.519028
0.01209,4863.791903
0.0121,4500.480769
0.01211,4723.640081
0.01212,4727.935223
0.01213,4928.426721
0.01214,4552.680972
0.01215,4622.17753
0.01216,4490.950202
0.01217,4774.874089
0.01218,4639.868826
0.01219,4692.75749
0.0122,4587.64413
0.01221,4149.797571
0.01222,4501.480567
0.01223,4249.726923
0.01224,4804.004656
0.01225,4766.542713
0.01226,4282.004858
0.01227,4420.165385
0.01228,4273.174696
0.01229,4448.172672
0.0123,4368.634211
0.01231,4377.842713
0.01232,4345.277733
0.01233,4430.984211
0.01234,4558.619433
0.01235,4176.005061
0.01236,4410.689474
0.01237,4324.087449
0.01238,4175.738462
0.01239,4245.22834
0.0124,3898.936842
0.01241,4227.678947
0.01242,4129.554656
0.01243,4402.498785
0.01244,4154.296154
0.01245,4286.390081
0.01246,4007.968421
0.01247,4180.05749
0.01248,4161.920648
0.01249,4345.47915
0.0125,4164.391296
0.01251,4065.093117
0.01252,3911.107085
0.01253,4209.676923
0.01254,3837.557692
0.01255,4061.978947
0.01256,3997.659514
0.01257,3996.721053
0.01258,3947.368421
0.01259,3919.937854
0.0126,4153.787045
0.01261,4113.649393
0.01262,4180.478138
0.01263,4136.437247
0.01264,3956.948988
0.01265,3624.004049
0.01266,3901.634413
0.01267,3735.515789
0.01268,4201.02753
0.01269,3928.715992
0.0127,3591.791903
0.01271,4003.526316
0.01272,3962.351417
0.01273,3885.48664
0.01274,4019.664575
0.01275,3801.534008
0.01276,3898.620243
0.01277,3878.682186
0.01278,3752.389879
0.01279,3959.176721
0.0128,3525.67085
0.01281,3643.494534
0.01282,3525.537247
0.01283,3892.666194
0.01284,3956.622267
0.01285,3690.208502
0.01286,3588.711538
0.01287,3377.42834
