q(nm^-1),Intensity
0.00994,1581.71209
0.00995,1713.746624
0.00996,1653.389228
0.00997,1657.958199
0.00998,1722.829582
0.00999,1675.76463
0.01,1743.508199
0.01001,1560.666736
0.01002,1659.017203
0.01003,1602.431415
0.01004,1726.773312
0.01005,1653.851608
0.01006,1647.545981
0.01007,1665.897749
0.01008,1556.200965
0.01009,1585.636817
0.0101,1613.952572
0.01011,1569.359711
0.01012,1672.657556
0.01013,1696.268971
0.01014,1663.348071
0.01015,1513.188601
0.01016,1557.053199
0.01017,1690.377974
0.01018,1547.863457
0.01019,1671.115756
0.0102,1583.734132
0.01021,1606.516206
0.01022,1638.116238
0.01023,1655.132154
0.01024,1660.445177
0.01025,1622.789389
0.01026,1550.57791
0.01027,1595.429051
0.01028,1596.30963
0.01029,1720.566399
0.0103,1655.300804
0.01031,1599.830193
0.01032,1638.818167
0.01033,1732.473312
0.01034,1683.459807
0.01035,1596.225482
0.01036,1661.664791
0.01037,1623.464791
0.01038,1564.214164
0.01039,1666.084084
0.0104,1684.874437
0.01041,1651.822508
0.01042,1652.356913
0.01043,1655.642926
0.01044,1586.966318
0.01045,1641.723473
0.01046,1636.547267
0.01047,1594.984421
0.01048,1699.897588
0.01049,1639.108842
0.0105,1638.146624
0.01051,1546.960932
0.01052,1643.345659
0.01053,1626.382958
0.01054,1566.681945
0.01055,1651.074759
0.01056,1542.781945
0.01057,1566.333215
0.01058,1617.545659
0.01059,1676.281511
0.0106,1636.984084
0.01061,1551.599775
0.01062,1520.759116
0.01063,1552.541431
0.01064,1618.147267
0.01065,1624.370418
0.01066,1594.749646
0.01067,1630.711093
0.01068,1658.037299
0.01069,1562.001399
0.0107,1542.870498
0.01071,1695.44373
0.01072,1551.183344
0.01073,1594.96246
0.01074,1633.328457
0.01075,1429.87217
0.01076,1597.436367
0.01077,1616.620418
0.01078,1650.764309
0.01079,1623.794212
0.0108,1582.827669
0.01081,1583.750193
0.01082,1594.489003
0.01083,1700.579743
0.01084,1485.812074
0.01085,1587.198264
0.01086,1555.056672
0.01087,1570.224823
0.01088,1636.292283
0.01089,1499.908794
0.0109,1516.967363
0.01091,1566.843971
0.01092,1571.856801
0.01093,1461.740965
0.01094,1649.159003
0.01095,1400.861334
0.01096,1544.535595
0.01097,1573.423151
0.01098,1543.527958
0.01099,1558.319662
0.011,1480.58373
0.01101,1448.904325
0.01102,1499.668987
0.01103,1602.188794
0.01104,1581.945386
0.01105,1518.0941
0.01106,1495.053215
0.01107,1567.4959
0.01108,1487.587926
0.01109,1687.139389
0.0111,1495.298151
0.01111,1450.72508
0.01112,1537.033891
0.01113,1580.353023
0.01114,1529.891576
0.01115,1564.396431
0.01116,1487.660305
0.01117,1501.14299
0.01118,1433.536608
0.01119,1450.952733
0.0112,1447.062717
0.01121,1543.40836
0.01122,1433.180289
0.01123,1513.568103
0.01124,1478.561945
0.01125,1445.306125
0.01126,1543.240322
0.01127,1519.022878
0.01128,1426.801897
0.01129,1459.517765
0.0113,1390.106833
0.01131,1422.336254
0.01132,1417.714084
0.01133,1434.198489
0.01134,1438.503457
0.01135,1493.609759
0.01136,1410.381897
0.01137,1454.113907
0.01138,1457.554373
0.01139,1449.299534
0.0114,1465.311077
0.01141,1427.61918
0.01142,1380.403778
0.01143,1452.561286
0.01144,1413.254196
0.01145,1462.665209
0.01146,1411.585177
0.01147,1443.593553
0.01148,1390.351061
0.01149,1411.937701
0.0115,1380.058232
0.01151,1272.46574
0.01152,1412.43963
0.01153,1382.806543
0.01154,1404.560129
0.01155,1350.593569
0.01156,1335.062605
0.01157,1366.407395
0.01158,1358.105579
0.01159,1330.730402
0.0116,1412.216383
0.01161,1386.878569
0.01162,1373.196817
0.01163,1451.384132
0.01164,1370.783135
0.01165,1425.266206
0.01166,1458.429051
0.01167,1331.771286
0.01168,1356.397556
0.01169,1270.729019
0.0117,1318.591576
0.01171,1316.768248
0.01172,1318.89209
0.01173,1276.791077
0.01174,1407.324614
0.01175,1327.286141
0.01176,1344.193344
0.01177,1262.555386
0.01178,1345.683151
0.01179,1341.876929
0.0118,1417.743891
0.01181,1342.814775
0.01182,1320.917186
0.01183,1267.292347
0.01184,1341.766286
0.01185,1299.535016
0.01186,1390.675241
0.01187,1445.176833
0.01188,1234.808923
0.01189,1370.297154
0.0119,1288.275643
0.01191,1374.468055
0.01192,1268.741077
0.01193,1265.552926
0.01194,1308.474277
0.01195,1243.219775
0.01196,1202.935338
0.01197,1285.484662
0.01198,1293.92508
0.01199,1221.921383
0.012,1281.471865
0.01201,1146.700322
0.01202,1235.786141
0.01203,1179.108328
0.01204,1226.385064
0.01205,1183.175707
0.01206,1163.55209
0.01207,1265.450756
0.01208,1139.725193
0.01209,1191.836045
0.0121,1240.307974
0.01211,1192.405675
0.01212,1281.886334
0.01213,1169.317428
0.01214,1178.878103
0.01215,1203.11664
0.01216,1174.286608
0.01217,1191.680273
0.01218,1135.144003
0.01219,1186.848232
0.0122,1041.548505
0.01221,1140.399695
0.01222,1201.667781
0.01223,1158.978006
0.01224,1126.972942
0.01225,1165.968103
0.01226,1090.498923
0.01227,1126.673537
0.01228,1155.635804
0.01229,1224.342781
0.0123,1114.335257
0.01231,1195.575916
0.01232,1101.233923
0.01233,1141.147556
0.01234,1135.466849
0.01235,1138.127556
0.01236,1107.090273
0.01237,1080.297862
0.01238,1159.577444
0.01239,1126.690225
0.0124,1168.547749
0.01241,1134.375177
0.01242,1146.172412
0.01243,1078.052701
0.01244,1128.510482
0.01245,1057.320016
0.01246,1115.347814
0.01247,1109.963939
0.01248,1177.232749
0.01249,1058.994421
0.0125,1118.948473
0.01251,1087.661817
0.01252,1096.992251
0.01253,1051.300756
0.01254,1053.466302
0.01255,1055.298714
0.01256,1015.70172
0.01257,1010.550965
0.01258,1018.12246
0.01259,1072.479084
0.0126,990.081865
0.01261,986.7306913
0.01262,1081.003392
0.01263,1064.617733
0.01264,998.2778135
0.01265,1012.27463
0.01266,1006.852058
0.01267,1053.605273
0.01268,1038.945305
0.01269,980.7615434
0.0127,1023.944534
0.01271,1053.289678
0.01272,977.0424116
0.01273,994.468328
0.01274,981.1346785
0.01275,1001.480145
0.01276,1017.996302
0.01277,931.7175402
0.01278,1057.97992
0.01279,1019.103489
0.0128,1013.858457
0.01281,987.7605949
0.01282,982.0868167
0.01283,1008.913762
0.01284,1016.191318
0.01285,995.5973473
0.01286,897.4878135
0.01287,899.5998714
0.01288,940.9066077
0.01289,979.153119
0.0129,989.6391801
0.01291,953.6895338
0.01292,940.6240032
0.01293,945.3761254
0.01294,881.298537
0.01295,883.6642605
0.01296,941.368537
0.01297,878.6200322
0.01298,906.0841318
0.01299,936.3204502
0.013,916.0055305
0.01301,901.8723794
0.01302,908.5036977
0.01303,914.7371061
0.01304,887.7757878
0.01305,931.6555949
0.01306,945.5486977
0.01307,928.9388907
0.01308,911.5404984
0.01309,924.413746
0.0131,897.7394534
0.01311,915.9053215
0.01312,948.3240514
0.01313,933.4807074
0.01314,851.3186334
0.01315,869.8540032
0.01316,935.8678939
0.01317,867.2969293
0.01318,861.1394534
0.01319,872.4598392
0.0132,904.254791
0.01321,859.0846624
0.01322,915.3044695
0.01323,861.1919453
0.01324,836.7863505
0.01325,847.7583923
0.01326,909.1965434
0.01327,839.5036174
0.01328,793.2553215
0.01329,850.8784084
0.0133,811.7269775
0.01331,859.7348232
0.01332,821.387492
0.01333,814.6419775
0.01334,801.9820257
0.01335,772.3418167
0.01336,917.14
0.01337,796.4037299
0.01338,855.5260129
0.01339,839.4835048
0.0134,802.5549678
0.01341,801.2284727
0.01342,712.3387781
